DRUNK	Hey! Was die Holle Sie denken Sie sind ... DRUNK Hey! what the hell you think you're ...
BUFFY	"Skittish?" That's not a word I'd use for it. You tried to rape me. I don't have the words.
SPIKE	Neither do I. I can't say "sorry" and I can't use "forgive me." All I can tell you, Buffy, is I've changed.
BUFFY	I believe you.
SPIKE	Well, that's something.
BUFFY	I just don't know what you've changed into. You come back to town, you make with the big surprises - twice - and I don't know what your game is, Spike, but I know - there's something you're not telling me.
SPIKE	You're right.
NANCY	... still kinda hard to believe this is happening, even with this town's reputation for, you know, unexplained weirdness.
XANDER	Right, "Sunnydale: come for the food, stay for the dismemberment."
NANCY	There's good food?
NANCY	Got it. So, you think I might, instead, give you a call sometime?
XANDER	Just to check in.
NANCY	No, I'm actually hitting on you.
XANDER	Even better. I'm very listed.
NANCY	And I'm very pushy, so that works out, then.
NANCY	I ... no, I don't think so. It's just, I don't think I can take any more of this ...
XANDER	Two attacks in one night - I'm thinking it's more than just coincidence.
NANCY	Sure. Why not? Monster, trying to kill me ... that was really the only thing missing to make my life perfect. (beat, sighing) Ronnie'd love this, boy ...
XANDER	Right. Who's Ronnie?
NANCY	Oh, only a psycho ex-boyfriend I spent the last few weeks getting rid of. Phtt, I almost prefer the monster. He was ... trouble.
XANDER	Uh-huh. And, just curious here, was this Ronnie guy a "borrow money" kind of trouble, or more of a "raising demon" trouble kind of guy?
NANCY	Ronnie? He couldn't - I mean, he was just... He was an abusive bastard, is the catchy headline. And he'd just show up, even after... You know the feeling when your ex is constantly ruining every part of your life and it just doesn't stop?
XANDER	Yes.
NANCY	And you yet so tired of being helpless, all you can do is just ... wish it could all stop?
XANDER	"Wish?"
NANCY	But then I realized, it's my life, not his, why'd I ever let him ...
XANDER	Nancy - I'm sorry - can we go back a second? When you wished, was that like wishing on a star, or did you actually wish to a friend that something bad would happen?
WOMAN	... and it's not the fact he cheated on me, it's the way he cheated, you know? I mean, we could have talked, I could have handled it ...
ANYA	Uh-huh. Uh-huh. I get it. Go on ...
WOMAN	You know what he is? He's spineless. That's it. He's like this spineless little pig. You know what I wish?
ANYA	God, do I want to.
ANYA	... You were saying.
WOMAN	I want more quesadillas?
ANYA	Before that.
WOMAN	A margarita?
ANYA	After that.
WOMAN	Oh. Yeah! God, my boyfriend's spineless. He should just, you know, just be spineless. For real.
ANYA	No spine. Got it. I can do that.
WOMAN	What do you mean?
ANYA	Well, honey, what I'm driving us towards here is, sometimes, don't you just wish that ...
XANDER	This the one you talked to?
ANYA	Tell you what: let's put a pin in it, go get yourself a beverage and we'll pick it up in a few. 'Kay?
BUFFY	We noticed.
SPIKE	It's why we're here.
XANDER	Yeah, did you turn this nice lady's ex into a giant worm monster?
ANYA	Yes.
NANCY	No way - are you saying that ... that thing was Ronnie?
ANYA	Hey, you wish it, I dish it. I thought we were clear on this. Didn't think you were gonna turn all narc on me.
BUFFY	You wished your ex was a worm.
NANCY	We were just talking.
XANDER	Anya has a way of making things happen.
ANYA	I had a quota, the guy had it coming, what's the big?
NANCY	I think I'm gonna be sick.
BUFFY	Anya, that thing you created burst through solid pavement and ate her dog.
ANYA	Aww. Puppy ...
XANDER	Wait. That gets your sad noise? People's lives are in danger and you give it up for the shih-tzu?
ANYA	You never understood me, Xander.
NANCY	Xander, who is this woman?
XANDER	Anya? She's ... Anya. My ex.
NANCY	Oh.
ANYA	Hey, nobody's bragging here.
SPIKE	Please - I've already forgotten our little together time.
NANCY	I thought you were Xander's ex- girl friend.
ANYA	I am.
NANCY	But you and Spike ...?
ANYA	We had a thing.
SPIKE	Didn't last.
NANCY	But weren't you Buffy's ...
SPIKE	Briefly.
BUFFY	Never serious.
NANCY	Are there any of you who haven't slept with each other?
ANYA	Well at least we're all bipeds, which is more than you can say for Ronnie the worm boy.
BUFFY	Can we all just focus a minute? Anya. This Ronnie? He's not a worm. Worms are like, this big. They're fish bait. That thing ...
SPIKE	Was a Sluggoth Demon. Am I right?
ANYA	Maybe.
NANCY	But - I never wished for that. I don't even know what a ... whatchamacallit demon is.
SPIKE	Sluggoth Demon. Very large, very nasty, natural predators who died out around the Crusades.
ANYA	Same phylum, it's not cheating. I just embellished.
XANDER	Well you can unembellished now.
ANYA	Bite me, Harris. I have rules to work with. Vengeance Demon codes of conduct you'll never understand 'cause you're still all so ... human.
ANYA	Oh my God ...
SPIKE	What are you staring at?
ANYA	Oh my God ...
SPIKE	Right - let's go.
ANYA	How did you do it ... ?
BUFFY	Spike. What's she talking about?
ANYA	I can see you ...
SPIKE	Nothing. Let's go. Got some worm hunting to do ...
ANYA	How did you do it?
SPIKE	Shut up.
ANYA	It shouldn't be possible ...
SPIKE	Shut your mouth, you.
ANYA	How did you get ...
SPIKE	I said you shut UP!
XANDER	Buffy ...
BUFFY	Not now, Xander.
XANDER	Nancy.
BUFFY	I'll go find her. You work on Anya - get her to reverse that spell.
XANDER	Anya, we ...
ANYA	... Have nothing to talk about.
ANYA	Don't think you can tell me what to do, Xander. You're not a part of my life anymore, remember?
ANYA	So why are you here? Let me cast my Vengeance. Do I come to where you work and slap the ... wrench thing out of your hands?
XANDER	I'm trying to save your life.
ANYA	How's that work?
XANDER	Think about the career choice you're making here, Anya. You're getting people killed.
ANYA	Not my problem.
XANDER	Well it's gonna be. Forget right and wrong - what you're doing is demonic.
ANYA	Uh, yeah. We're not called Vengeance People ...
XANDER	And Buffy's the Slayer. You're a Demon. You kill people - how long you think it's gonna be before she has to do her job?
ANYA	Buffy wouldn't slay ... me.
XANDER	Not if you stop now.
ANYA	What do you want me to do?
XANDER	Reverse the spell.
ANYA	It's not that easy, Xander!
XANDER	You can do it.
ANYA	Sure, the spell part. But what about afterwards? What about me? I'm in enough trouble as it is. Halfrek's all over my case, D'Hoffryn is not pleased with my work and you don't want to see him unhappy, trust me ...
XANDER	Nice friends you got.
ANYA	Nice friends I had. Chums, co- workers, bridesmaids ... oh I had the whole package until something fell apart, now what could that be, Xander?
XANDER	You saying this is my fault?
ANYA	All I'm saying is, none of this happened until you dumped me at the altar.
XANDER	And sooner or later, Anya, that excuse just stops working.
SPIKE	Too much pain and damage, up close, right inside me. All the way, deep, deep inside me ...
BUFFY	Spike! Whatever you're doing ...
SPIKE	Get AWAY!
BUFFY	Do it somewhere else. I'm through with this.
SPIKE	Oh, Lucky Girl. Call it quits, now there's an option. If only it were so easy, if only, if only and ... ... What the hell are you screaming about? I can hear you, no need to SHOUT!!!
XANDER	Buffy.
NANCY	You. You did this. What are you?
BUFFY	Stay with him. Make sure he gets help.
XANDER	Where are you going?
ANYA	Tell him that.
XANDER	You reversed the spell. Took some guts. And I know this is bad - but it could be worse.
BUFFY	So that's the problem.
SPIKE	I think.
BUFFY	Got news, Spike. You're not that nice.
BUFFY	Spike ...
SPIKE	Buffy. I can't sleep. Can't think. There's voices and darkness and blindness and pain and help me, I I...
BUFFY	But why'd you do it ...?
SPIKE	You know why. I got my soul back ...
